q_pip,q_dip,q_linkage_base,q_linkage_distal
1.954768762233649038e-01,-4.667362540346351452e-01,-3.954264105385805195e-01,2.667867197194193629e-01
1.972222054753592080e-01,-4.702332007902509936e-01,-3.985471230783610430e-01,2.689082831872489088e-01
1.989675347273535400e-01,-4.737219019429481648e-01,-4.016619242132097867e-01,2.710275124570920013e-01
2.007128639793478719e-01,-4.772024052018157825e-01,-4.047708329431163321e-01,2.731444362380472946e-01
2.024581932313422039e-01,-4.806747575547314355e-01,-4.078738680366726932e-01,2.752590827494008074e-01
2.042035224833365359e-01,-4.841390052853831172e-01,-4.109710480370836194e-01,2.773714797316362279e-01
2.059488517353308679e-01,-4.875951939898364174e-01,-4.140623912680085894e-01,2.794816544571583350e-01
2.076941809873251998e-01,-4.910433685925976732e-01,-4.171479158392239484e-01,2.815896337406993410e-01
2.094395102393195318e-01,-4.944835733622596763e-01,-4.202276396521273938e-01,2.836954439494512314e-01
2.111848394913138638e-01,-4.979158519266642102e-01,-4.233015804050639375e-01,2.857991110129138868e-01
2.129301687433081958e-01,-5.013402472876671290e-01,-4.263697555985084264e-01,2.879006604324665375e-01
2.146754979953025000e-01,-5.047568018354762209e-01,-4.294321825400904125e-01,2.900001172906883085e-01
2.164208272472968320e-01,-5.081655573626093769e-01,-4.324888783494786892e-01,2.920975062604274086e-01
2.181661564992911639e-01,-5.115665550774397552e-01,-4.355398599631152834e-01,2.941928516136154137e-01
2.199114857512854959e-01,-5.149598356173870073e-01,-4.385851441388166627e-01,2.962861772298559515e-01
2.216568150032798279e-01,-5.183454390617407981e-01,-4.416247474602426060e-01,2.983775066047780200e-01
2.234021442552741599e-01,-5.217234049441406007e-01,-4.446586863412407276e-01,3.004668628581739220e-01
2.251474735072684918e-01,-5.250937722647002204e-01,-4.476869770300537787e-01,3.025542687419155996e-01
2.268928027592628238e-01,-5.284565795018356660e-01,-4.507096356134243642e-01,3.046397466476742366e-01
2.286381320112571558e-01,-5.318118646237266489e-01,-4.537266780205642114e-01,3.067233186144195933e-01
2.303834612632514878e-01,-5.351596650995418258e-01,-4.567381200270337338e-01,3.088050063357594688e-01
2.321287905152458197e-01,-5.385000179102803486e-01,-4.597439772584839268e-01,3.108848311670424636e-01
2.338741197672401240e-01,-5.418329595594011394e-01,-4.627442651943178831e-01,3.129628141323230750e-01
2.356194490192344559e-01,-5.451585260831253166e-01,-4.657389991712381772e-01,3.150389759311220672e-01
2.373647782712287879e-01,-5.484767530604894858e-01,-4.687281943866903333e-01,3.171133369450274131e-01
2.391101075232231199e-01,-5.517876756231219204e-01,-4.717118659022259131e-01,3.191859172441193770e-01
2.408554367752174519e-01,-5.550913284647798207e-01,-4.746900286467523600e-01,3.212567365932450514e-01
2.426007660272117838e-01,-5.583877458506254499e-01,-4.776626974197095699e-01,3.233258144581276916e-01
2.443460952792061158e-01,-5.616769616262722309e-01,-4.806298868941487612e-01,3.253931700113295022e-01
2.460914245312004478e-01,-5.649590092265941443e-01,-4.835916116197309655e-01,3.274588221380634323e-01
2.478367537831947798e-01,-5.682339216843068641e-01,-4.865478860256393645e-01,3.295227894418619741e-01
2.495820830351891118e-01,-5.715017316383361745e-01,-4.894987244234156876e-01,3.315850902501096265e-01
2.513274122871834160e-01,-5.747624713419670073e-01,-4.924441410097131211e-01,3.336457426194376907e-01
2.530727415391777479e-01,-5.780161726708072933e-01,-4.953841498689888212e-01,3.357047643409964977e-01
2.548180707911720799e-01,-5.812628671305102301e-01,-4.983187649760987270e-01,3.377621729455837496e-01
2.565634000431664119e-01,-5.845025858643437822e-01,-5.012480001988430800e-01,3.398179857086671696e-01
2.583087292951607439e-01,-5.877353596605576769e-01,-5.041718693004382246e-01,3.418722196552801407e-01
2.600540585471550759e-01,-5.909612189595527809e-01,-5.070903859419120252e-01,3.439248915647956650e-01
2.617993877991494078e-01,-5.941801938608959333e-01,-5.100035636844468812e-01,3.459760179755981824e-01
2.635447170511437398e-01,-5.973923141301415995e-01,-5.129114159916507987e-01,3.480256151896341521e-01
2.652900463031380718e-01,-6.005976092055074211e-01,-5.158139562317765048e-01,3.500736992768689326e-01
2.670353755551324038e-01,-6.037961082043628025e-01,-5.187111976798703949e-01,3.521202860796250889e-01
2.687807048071267357e-01,-6.069878399295776106e-01,-5.216031535198704105e-01,3.541653912168341023e-01
2.705260340591210677e-01,-6.101728328757056730e-01,-5.244898368466515137e-01,3.562090300881752825e-01
2.722713633111153997e-01,-6.133511152350297202e-01,-5.273712606680076576e-01,3.582512178781374068e-01
2.740166925631097317e-01,-6.165227149034464560e-01,-5.302474379065871268e-01,3.602919695599688943e-01
2.757620218151040636e-01,-6.196876594862237297e-01,-5.331183814017754763e-01,3.623312998995520395e-01
2.775073510670983956e-01,-6.228459763036093833e-01,-5.359841039115278427e-01,3.643692234591799917e-01
2.792526803190926721e-01,-6.259976923963188611e-01,-5.388446181141546276e-01,3.664057546012564615e-01
2.809980095710870041e-01,-6.291428345308753833e-01,-5.416999366100556657e-01,3.684409074919061666e-01
2.827433388230813360e-01,-6.322814292048413165e-01,-5.445500719234166453e-01,3.704746961045057851e-01
2.844886680750756680e-01,-6.354135026519154295e-01,-5.473950365038509069e-01,3.725071342231403015e-01
2.862339973270700000e-01,-6.385390808469102453e-01,-5.502348427280043808e-01,3.745382354459754204e-01
2.879793265790643320e-01,-6.416581895106272526e-01,-5.530695029011236663e-01,3.765680131885673632e-01
2.897246558310586639e-01,-6.447708541145922290e-01,-5.558990292585672677e-01,3.785964806870834032e-01
2.914699850830529959e-01,-6.478770998857070751e-01,-5.587234339672937367e-01,3.806236510014664454e-01
2.932153143350473279e-01,-6.509769518107795250e-01,-5.615427291273000776e-01,3.826495370185263312e-01
2.949606435870416599e-01,-6.540704346409516035e-01,-5.643569267730317307e-01,3.846741514549614216e-01
2.967059728390359918e-01,-6.571575728960197260e-01,-5.671660388747419290e-01,3.866975068603135668e-01
2.984513020910303238e-01,-6.602383908686748626e-01,-5.699700773398355125e-01,3.887196156198702290e-01
3.001966313430246558e-01,-6.633129126286219091e-01,-5.727690540141576747e-01,3.907404899574893342e-01
3.019419605950189878e-01,-6.663811620266200109e-01,-5.755629806832622819e-01,3.927601419383766057e-01
3.036872898470133197e-01,-6.694431626984327366e-01,-5.783518690736464407e-01,3.947785834717993936e-01
3.054326190990076517e-01,-6.724989380686743345e-01,-5.811357308539433220e-01,3.967958263137392194e-01
